Date,High,Low,Commodity
4 01 2024,60,40,Chayote
9 01 2024,60,35,Chayote
10 01 2024,70,25,Chayote
11 01 2024,60,30,Chayote
12 01 2024,60,30,Chayote
15 01 2024,70,30,Chayote
16 01 2024,70,30,Chayote
17 01 2024,70,35,Chayote
18 01 2024,70,35,Chayote
19 01 2024,80,50,Chayote
23 01 2024,80,40,Chayote
27 02 2024,50,40,Chayote
28 02 2024,70,25,Chayote
7 03 2024,80,25,Chayote
18 03 2024,80,20,Chayote
19 03 2024,40,30,Chayote
21 03 2024,60,20,Chayote
22 03 2024,70,25,Chayote
25 03 2024,60,20,Chayote
27 03 2024,60,25,Chayote
1 04 2024,60,25,Chayote
2 04 2024,70,25,Chayote
3 04 2024,70,30,Chayote
9 04 2024,60,30,Chayote
11 04 2024,50,40,Chayote
25 04 2024,75,40,Chayote
26 04 2024,60,40,Chayote
30 04 2024,80,40,Chayote
2 05 2024,70,50,Chayote
3 05 2024,90,50,Chayote
6 05 2024,80,55,Chayote
7 05 2024,80,50,Chayote
8 05 2024,80,70,Chayote
9 05 2024,80,50,Chayote
10 05 2024,90,40,Chayote
13 05 2024,70,50,Chayote
16 05 2024,85,50,Chayote
20 05 2024,85,50,Chayote
24 05 2024,80,60,Chayote
25 05 2024,100,60,Chayote
27 05 2024,100,60,Chayote
28 05 2024,95,50,Chayote
29 05 2024,100,50,Chayote
30 05 2024,105,60,Chayote
31 05 2024,100,8,Chayote
4 06 2024,105,60,Chayote
5 06 2024,100,55,Chayote
6 06 2024,100,55,Chayote
7 06 2024,90,55,Chayote
10 06 2024,90,8,Chayote
11 06 2024,100,50,Chayote
12 06 2024,90,60,Chayote
13 06 2024,100,50,Chayote
14 06 2024,100,50,Chayote
17 06 2024,100,50,Chayote
18 06 2024,90,45,Chayote
19 06 2024,85,45,Chayote
20 06 2024,90,45,Chayote
21 06 2024,90,45,Chayote
22 06 2024,80,30,Chayote
26 06 2024,80,40,Chayote
27 06 2024,90,30,Chayote
28 06 2024,85,30,Chayote
29 06 2024,80,40,Chayote
1 07 2024,85,30,Chayote
2 07 2024,85,25,Chayote
3 07 2024,80,25,Chayote
5 07 2024,70,30,Chayote
8 07 2024,80,20,Chayote
9 07 2024,70,25,Chayote
12 07 2024,70,18,Chayote
15 07 2024,70,20,Chayote
16 07 2024,70,20,Chayote
17 07 2024,70,30,Chayote
19 07 2024,70,20,Chayote
22 07 2024,70,20,Chayote
23 07 2024,70,20,Chayote
24 07 2024,80,25,Chayote
25 07 2024,80,25,Chayote
26 07 2024,80,30,Chayote
27 07 2024,100,40,Chayote
29 07 2024,90,40,Chayote
30 07 2024,90,30,Chayote
31 07 2024,80,30,Chayote
1 08 2024,60,35,Chayote
2 08 2024,85,25,Chayote
3 08 2024,70,40,Chayote
5 08 2024,85,30,Chayote
6 08 2024,80,25,Chayote
7 08 2024,80,25,Chayote
8 08 2024,80,25,Chayote
9 08 2024,80,25,Chayote
10 08 2024,80,35,Chayote
12 08 2024,80,25,Chayote
13 08 2024,80,25,Chayote
14 08 2024,80,20,Chayote
15 08 2024,80,25,Chayote
16 08 2024,85,30,Chayote
17 08 2024,70,30,Chayote
20 08 2024,60,45,Chayote
21 08 2024,70,50,Chayote
29 08 2024,70,20,Chayote
30 08 2024,70,20,Chayote
